system:index,Bioregions,OBJECTID,OBJECTID_1,Shape_Area,Shape_Leng,pop_den_2000,pop_den_2005,pop_den_2010,pop_den_2015,pop_den_2020,grid_id
00000000000000000097,NA24,126,127,5.87464319123E11,5327422.291,3.5959873063321437,3.589006527211458,3.582048635114777,3.575113464048341,3.5682005442873987,152
00000000000000000098,NA24,126,127,5.87464319123E11,5327422.291,5.999186784020662,5.896362413822255,5.8066768019392745,5.730710219899721,5.6691287863713375,153
00000000000000000099,NA24,126,127,5.87464319123E11,5327422.291,2.3062131280288725,2.249104633903824,2.1959001919300234,2.146680320010581,2.1015445641767534,154
0000000000000000009a,NA24,126,127,5.87464319123E11,5327422.291,4.551092630231385,4.439734184208822,4.336175234955206,4.240586041269559,4.153175729565777,155
0000000000000000009b,NA24,126,127,5.87464319123E11,5327422.291,5.541023409052899,5.714953295627707,5.920394458190391,6.160189490647693,6.437491127527075,156
0000000000000000009c,NA24,126,127,5.87464319123E11,5327422.291,14.438829943918387,14.607505529381147,14.838054095808694,15.135459168187438,15.505272238010294,157
0000000000000000009d,NA24,126,127,5.87464319123E11,5327422.291,7.573664644684746,8.034790272,8.554876792,9.139710848,9.795694119030193,158
0000000000000000009e,NA24,126,127,5.87464319123E11,5327422.291,54.55489247878068,59.83170045255375,65.67229059041605,72.13498963973264,79.28422406229106,159
0000000000000000009f,NA24,126,127,5.87464319123E11,5327422.291,36.02095862454669,39.77651204565561,43.92362118,48.50310829585561,53.56005336050303,160
000000000000000000a0,NA24,126,127,5.87464319123E11,5327422.291,36.34988599475492,40.20668964,44.47634353062375,49.20361469040681,54.43821305,161
000000000000000000a1,NA24,126,127,5.87464319123E11,5327422.291,16.13534813006609,18.677707921967244,21.62308551720224,25.035625180982407,28.989708261560207,162
000000000000000000a2,NA24,126,127,5.87464319123E11,5327422.291,12.361602375873787,14.344295742881144,16.644996213481562,19.314709101147734,22.41262100698728,163
000000000000000000a3,NA24,126,127,5.87464319123E11,5327422.291,10.854187267688411,12.595104880390691,14.61525020108845,16.959409967023664,19.679552142457204,164
000000000000000000a4,NA24,126,127,5.87464319123E11,5327422.291,20.2061151,23.44700034348413,27.207696042440414,31.571573499666744,36.635380839226926,165
000000000000000000a5,NA24,126,127,5.87464319123E11,5327422.291,25.735973578503714,29.863800179177446,34.65369497301456,40.21184684461294,46.66147788315402,166
000000000000000000a6,NA24,126,127,5.87464319123E11,5327422.291,10.719772431711073,12.439131239743972,14.434259625753018,16.749389520643764,19.435846909119494,167
000000000000000000a7,NA24,126,127,5.87464319123E11,5327422.291,18.38700649580812,21.33612307981599,24.758251964432905,28.729260292517232,33.33718483865198,168
000000000000000000a8,NA24,126,127,5.87464319123E11,5327422.291,20.074206049755045,23.232843227518494,26.89646825218326,31.146034146329637,36.07547731830166,169
000000000000000000a9,NA24,126,127,5.87464319123E11,5327422.291,7.417927415101459,7.638238727716631,7.868033367133929,8.108142650326851,8.359513151670784,170
000000000000000000aa,NA24,126,127,5.87464319123E11,5327422.291,8.734194198440763,8.967111733317125,9.206240201720258,9.451745827626377,9.703798501772926,171
000000000000000000ab,NA24,126,127,5.87464319123E11,5327422.291,12.369451033544204,12.699310898026532,13.037967528056699,13.38565506354945,13.742614430706137,172
000000000000000000ac,NA24,126,127,5.87464319123E11,5327422.291,2.138731498676118,2.1957657397704047,2.2543208436125846,2.314437558393285,2.3761574243557333,173
000000000000000000ad,NA24,126,127,5.87464319123E11,5327422.291,1.7918571440867672,1.8396411563102981,1.8886994183403147,1.939065943082228,1.9907756233044498,174
000000000000000000ae,NA24,126,127,5.87464319123E11,5327422.291,1.0479553699951023,1.075775981407019,1.104337869816229,1.1336607816352036,1.1637649810703152,175
000000000000000000af,NA24,126,127,5.87464319123E11,5327422.291,,,,,,176
